"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\App.js", "JavaScript", 49, 0, 0, 0, 3, 52
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\Logo.svg", "XML", 0, 21, 0, 0, 1, 22
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\doubleArrowRightIcon.svg", "XML", 0, 8, 0, 0, 1, 9
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\jsError.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noAccessIcon.svg", "XML", 0, 23, 0, 0, 1, 24
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noAlbumPhotoIcon.svg", "XML", 0, 21, 0, 0, 1, 22
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noProfilePictureIcon.svg", "XML", 0, 26, 0, 0, 1, 27
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\pageNotFoundIcon.svg", "XML", 0, 27, 0, 0, 1, 28
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\refreshIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\scrollBackIcon.svg", "XML", 0, 23, 0, 0, 1, 24
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\somethingWentWrongIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\Login.js", "JavaScript", 336, 0, 0, 0, 28, 364
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\Register.js", "JavaScript", 586, 0, 0, 5, 35, 626
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\assets\logo.js", "JavaScript", 131, 0, 0, 0, 5, 136
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\styles\input.css", "CSS", 0, 0, 12, 0, 0, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\styles\pureSelect.css", "CSS", 0, 0, 59, 2, 6, 67
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\AlbumCreatorPage.js", "JavaScript", 475, 0, 0, 8, 31, 514
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\BasicInfo.js", "JavaScript", 818, 0, 0, 3, 35, 856
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\Localization.js", "JavaScript", 435, 0, 0, 3, 23, 461
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\Photos.js", "JavaScript", 680, 0, 0, 6, 50, 736
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\addIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\closeIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\deleteAlbumIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\deleteWhiteIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\imageNotFoundIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\infoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\localizationIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\photoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\privateAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\publicAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\AddComment.js", "JavaScript", 202, 0, 0, 8, 19, 229
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\Carousel.js", "JavaScript", 339, 0, 0, 14, 32, 385
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\PhotoSection.js", "JavaScript", 164, 0, 0, 0, 11, 175
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\PinBox.js", "JavaScript", 259, 0, 0, 4, 18, 281
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\PinFriendThumbnail.js", "JavaScript", 183, 0, 0, 0, 10, 193
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\SideSection.js", "JavaScript", 682, 0, 0, 3, 35, 720
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\acceptIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\close2Icon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\closeIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\editPencilIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\emojiIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\leftArrowIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\rightArrowIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\sendIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\tagIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\assets\tagWhiteIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\styles\commentEmojiPicker.css", "CSS", 0, 0, 234, 45, 54, 333
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\styles\photosScrollbar.css", "CSS", 0, 0, 32, 0, 10, 42
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\AlbumGrid.js", "JavaScript", 246, 0, 0, 3, 12, 261
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\AlbumInside.js", "JavaScript", 553, 0, 0, 4, 29, 586
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\AlbumThumbnail.js", "JavaScript", 257, 0, 0, 0, 16, 273
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\AlbumsPage.js", "JavaScript", 270, 0, 0, 2, 15, 287
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\ShareBox.js", "JavaScript", 220, 0, 0, 4, 18, 242
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\ShareFriendThumbnail.js", "JavaScript", 187, 0, 0, 2, 10, 199
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\albumsScrollbar.css", "CSS", 0, 0, 18, 0, 2, 20
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\addAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\closeIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\descriptionIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\editIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\localizationIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\privateAlbumBlueIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\privateAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\publicAlbumBlueIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\publicAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\shareIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albums\assets\sharedAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\CountriesForm.js", "JavaScript", 255, 0, 0, 27, 25, 307
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\CountrySelect.js", "JavaScript", 128, 0, 0, 7, 17, 152
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\DeleteAcountForm.js", "JavaScript", 54, 0, 0, 0, 7, 61
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\DescriptionForm.js", "JavaScript", 183, 0, 0, 0, 11, 194
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\EditProfilePage.js", "JavaScript", 307, 0, 0, 0, 17, 324
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\PasswordForm.js", "JavaScript", 235, 0, 0, 3, 27, 265
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\PersonalInfoForm.js", "JavaScript", 453, 0, 0, 5, 21, 479
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\PhotoChange.js", "JavaScript", 279, 0, 0, 5, 19, 303
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\addIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\changePasswordIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\closeIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\countriesIcon.svg", "XML", 0, 15, 0, 0, 1, 16
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\deleteAccountIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\descriptionIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\interestsIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\editProfile\assets\personalInfoIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\googleMaps\Map.js", "JavaScript", 183, 0, 0, 3, 12, 198
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\googleMaps\MapStyle.js", "JavaScript", 284, 0, 0, 1, 1, 286
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\googleMaps\MarkerInfo.js", "JavaScript", 143, 0, 0, 1, 12, 156
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\googleMaps\styles\markerInfo.css", "CSS", 0, 0, 7, 0, 2, 9
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\BasicInfo.js", "JavaScript", 337, 0, 0, 1, 18, 356
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\ChangeOwner.js", "JavaScript", 116, 0, 0, 0, 10, 126
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\GroupAlbumCreatorPage.js", "JavaScript", 549, 0, 0, 8, 32, 589
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\Localization.js", "JavaScript", 430, 0, 0, 2, 23, 455
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\Photos.js", "JavaScript", 712, 0, 0, 6, 51, 769
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\addIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\closeIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\crownIcon.svg", "XML", 0, 7, 0, 0, 1, 8
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\deleteAlbumIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\deleteWhiteIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\imageNotFoundIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\infoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\localizationIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\photoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\privateAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbumCreator\assets\publicAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\GroupAlbumInside.js", "JavaScript", 421, 0, 0, 1, 27, 449
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\HistoryBox.js", "JavaScript", 402, 0, 0, 3, 27, 432
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\closeIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\descriptionIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\editIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\historyIcon.svg", "XML", 0, 10, 0, 1, 0, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupAlbum\assets\localizationIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\BasicGroupInfo.js", "JavaScript", 341, 0, 0, 1, 18, 360
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\ChangeOwner.js", "JavaScript", 125, 0, 0, 1, 10, 136
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\GroupCreatorPage.js", "JavaScript", 552, 0, 0, 4, 31, 587
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\GroupPhoto.js", "JavaScript", 257, 0, 0, 1, 24, 282
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\Members.js", "JavaScript", 319, 0, 0, 1, 24, 344
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\addIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\closeIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\crownIcon.svg", "XML", 0, 7, 0, 0, 1, 8
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\deleteGroupIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\deleteWhiteIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\imageNotFoundIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\infoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\membersIcon.svg", "XML", 0, 20, 0, 0, 1, 21
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupCreator\assets\photoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\AddComment.js", "JavaScript", 202, 0, 0, 8, 19, 229
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\Carousel.js", "JavaScript", 339, 0, 0, 14, 32, 385
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\PhotoSection.js", "JavaScript", 163, 0, 0, 0, 11, 174
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\PinBox.js", "JavaScript", 241, 0, 0, 2, 17, 260
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\PinMemberThumbnail.js", "JavaScript", 177, 0, 0, 0, 10, 187
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\SideSection.js", "JavaScript", 697, 0, 0, 3, 36, 736
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\acceptIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\close2Icon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\closeIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\editPencilIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\emojiIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\leftArrowIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\rightArrowIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\sendIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\tagIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\tagWhiteIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\styles\commentEmojiPicker.css", "CSS", 0, 0, 234, 45, 54, 333
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\styles\photosScrollbar.css", "CSS", 0, 0, 32, 0, 10, 42
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\DescriptionSection.js", "JavaScript", 94, 0, 0, 0, 9, 103
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupAlbumSection.js", "JavaScript", 232, 0, 0, 2, 16, 250
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupAlbumThumbnail.js", "JavaScript", 225, 0, 0, 0, 16, 241
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupInside.js", "JavaScript", 616, 0, 0, 9, 30, 655
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupThumbnail.js", "JavaScript", 320, 0, 0, 0, 15, 335
